id,reviewId,reviewId_1
ant_man_and_the_wasp_quantumania,102780028,102781074
ant_man_and_the_wasp_quantumania,102780049,102781074
ant_man_and_the_wasp_quantumania,102780416,102781074
ant_man_and_the_wasp_quantumania,102779490,102781074
ant_man_and_the_wasp_quantumania,102779560,102781074
ant_man_and_the_wasp_quantumania,102779686,102781074
ant_man_and_the_wasp_quantumania,102780644,102781074
ant_man_and_the_wasp_quantumania,102782426,102781074
ant_man_and_the_wasp_quantumania,102779550,102781074
ant_man_and_the_wasp_quantumania,102779550,102781074
ant_man_and_the_wasp_quantumania,102782182,102780165
ant_man_and_the_wasp_quantumania,102780513,102780165
ant_man_and_the_wasp_quantumania,102779975,102780165
ant_man_and_the_wasp_quantumania,102780494,102780165
ant_man_and_the_wasp_quantumania,102780917,102780165
ant_man_and_the_wasp_quantumania,102779524,102780165
ant_man_and_the_wasp_quantumania,102779541,102780165
ant_man_and_the_wasp_quantumania,102780483,102780165
ant_man_and_the_wasp_quantumania,102779482,102780165
ant_man_and_the_wasp_quantumania,102779543,102780165
ant_man_and_the_wasp_quantumania,102781291,102780165
ant_man_and_the_wasp_quantumania,102782142,102780165
ant_man_and_the_wasp_quantumania,102780049,102780376
ant_man_and_the_wasp_quantumania,102780748,102780376
ant_man_and_the_wasp_quantumania,102781215,102780376
ant_man_and_the_wasp_quantumania,102781005,102780376
ant_man_and_the_wasp_quantumania,102780483,102780376
ant_man_and_the_wasp_quantumania,102782426,102780376
ant_man_and_the_wasp_quantumania,102784175,102780376
ant_man_and_the_wasp_quantumania,102779984,102780376
ant_man_and_the_wasp_quantumania,102780049,102780376
ant_man_and_the_wasp_quantumania,102780416,102780376
ant_man_and_the_wasp_quantumania,102781569,102780376
ant_man_and_the_wasp_quantumania,102779490,102780376
ant_man_and_the_wasp_quantumania,102779686,102780376
ant_man_and_the_wasp_quantumania,102780837,102780376
ant_man_and_the_wasp_quantumania,102779889,102780376
ant_man_and_the_wasp_quantumania,102780758,102781241
ant_man_and_the_wasp_quantumania,102781215,102781241
ant_man_and_the_wasp_quantumania,102779524,102781241
ant_man_and_the_wasp_quantumania,102779521,102781241
ant_man_and_the_wasp_quantumania,102782426,102781241
ant_man_and_the_wasp_quantumania,102782142,102781241
ant_man_and_the_wasp_quantumania,102781297,102781420
ant_man_and_the_wasp_quantumania,102779861,102781420
ant_man_and_the_wasp_quantumania,102780491,102781420
ant_man_and_the_wasp_quantumania,102780917,102781420
ant_man_and_the_wasp_quantumania,102779545,102781420
ant_man_and_the_wasp_quantumania,102780483,102781420
ant_man_and_the_wasp_quantumania,102780704,102781420
ant_man_and_the_wasp_quantumania,102782734,102781420
ant_man_and_the_wasp_quantumania,102783989,102781420
ant_man_and_the_wasp_quantumania,102780376,102782182
ant_man_and_the_wasp_quantumania,102779604,102782182
ant_man_and_the_wasp_quantumania,102780513,102782182
ant_man_and_the_wasp_quantumania,102780668,102782182
ant_man_and_the_wasp_quantumania,102781291,102782182
ant_man_and_the_wasp_quantumania,102782018,102782182
ant_man_and_the_wasp_quantumania,102779544,102782182
ant_man_and_the_wasp_quantumania,102779555,102782182
ant_man_and_the_wasp_quantumania,102781569,102782182
ant_man_and_the_wasp_quantumania,102779557,102782182
ant_man_and_the_wasp_quantumania,102781334,102782182
ant_man_and_the_wasp_quantumania,102779861,102779604
ant_man_and_the_wasp_quantumania,102780049,102779604
ant_man_and_the_wasp_quantumania,102780748,102779604
ant_man_and_the_wasp_quantumania,102784444,102779604
ant_man_and_the_wasp_quantumania,102781569,102779604
ant_man_and_the_wasp_quantumania,102779521,102779604
ant_man_and_the_wasp_quantumania,102783989,102779604
