id,reviewid1,reviewid2
ant_man_and_the_wasp_quantumania,102781215,102779544
ant_man_and_the_wasp_quantumania,102781297,102781569
ant_man_and_the_wasp_quantumania,102782182,102779482
ant_man_and_the_wasp_quantumania,102780403,102779486
ant_man_and_the_wasp_quantumania,102779951,102779496
ant_man_and_the_wasp_quantumania,102779555,102779496
ant_man_and_the_wasp_quantumania,102780821,102781469
ant_man_and_the_wasp_quantumania,102780758,102779543
ant_man_and_the_wasp_quantumania,102781469,102779555
ant_man_and_the_wasp_quantumania,102779550,102780491
ant_man_and_the_wasp_quantumania,102779616,102781241
ant_man_and_the_wasp_quantumania,102781569,102782769
ant_man_and_the_wasp_quantumania,102779496,102780758
ant_man_and_the_wasp_quantumania,102779630,102780758
ant_man_and_the_wasp_quantumania,102779596,102779951
ant_man_and_the_wasp_quantumania,102780837,102782734
ant_man_and_the_wasp_quantumania,102782779,102779984
ant_man_and_the_wasp_quantumania,102779490,102780607
ant_man_and_the_wasp_quantumania,102779524,102781076
ant_man_and_the_wasp_quantumania,102779486,102782779
ant_man_and_the_wasp_quantumania,102779743,102780644
ant_man_and_the_wasp_quantumania,102780403,102780910
ant_man_and_the_wasp_quantumania,102780792,102781954
ant_man_and_the_wasp_quantumania,102779524,102779544
ant_man_and_the_wasp_quantumania,102780491,102779482
ant_man_and_the_wasp_quantumania,102781334,102779604
ant_man_and_the_wasp_quantumania,102779496,102780376
ant_man_and_the_wasp_quantumania,102779557,102783989
ant_man_and_the_wasp_quantumania,102779524,102781359
ant_man_and_the_wasp_quantumania,102780403,102779616
ant_man_and_the_wasp_quantumania,102780483,102779496
ant_man_and_the_wasp_quantumania,102779496,102781297
ant_man_and_the_wasp_quantumania,102780416,102779555
ant_man_and_the_wasp_quantumania,102781828,102780917
ant_man_and_the_wasp_quantumania,102783989,102781076
ant_man_and_the_wasp_quantumania,102780049,102780692
ant_man_and_the_wasp_quantumania,102779875,102779496
ant_man_and_the_wasp_quantumania,102781215,102779521
ant_man_and_the_wasp_quantumania,102781569,102780028
ant_man_and_the_wasp_quantumania,102780910,102783989
ant_man_and_the_wasp_quantumania,102779543,102781076
ant_man_and_the_wasp_quantumania,102779544,102779482
ant_man_and_the_wasp_quantumania,102783989,102781359
ant_man_and_the_wasp_quantumania,102780644,102782734
ant_man_and_the_wasp_quantumania,102779544,102780403
ant_man_and_the_wasp_quantumania,102780821,102779496
ant_man_and_the_wasp_quantumania,102779555,102780403
ant_man_and_the_wasp_quantumania,102781334,102779743
ant_man_and_the_wasp_quantumania,102780403,102779984
